ISBN10,avtor,naslov,cenaE,format,jezik,datum,ISBN13
0812993543,Ta-Nehisi Coates,Between the World and Me : Notes on the First 150 Years in America,"17,12",Hardback,English,30 Sep 2015,9780812993547
0812997859,Mary Aiken,The Cyber Effect : A Pioneering Cyberpsychologist Explains How Human Behavior Changes Online,"25,17",Hardback,English,20 Sep 2016,9780812997859
0815344325,Bruce Alberts,Molecular Biology of the Cell,"137,00",Hardback,English,13 Jan 2015,9780815344322
0877795193,Merriam-Webster,Merriam Webster&#039;s Pocket Spanish-English Dictionary,"4,23",Paperback,English,01 Jun 2002,9780877795193
0881884995,Hal Leonard Publishing Corporation,Standard Wirebound Manuscript Paper (Green Cover),"7,11",Spiral,English,01 Feb 1986,9780881884999
0890425558,American Psychiatric Association,Diagnostic and Statistical Manual of Mental Disorders (DSM-5),"108,22",Paperback,English,31 May 2013,9780890425558
0976423316,Harry K Wong,The First Days of School : How to Be an Effective Teacher,"32,32",Paperback,English,15 Feb 2009,9780976423317
0984782850,Gayle Laakmann McDowell,Cracking the Coding Interview,"36,02",Paperback,English,01 Jul 2015,9780984782857
0986045519,Law School Admission Council,"10 Actual, Official LSAT Preptests, Volume V","31,24",Big,English,15 Apr 2014,9780986045516
0996131809,Andrew Doughty,Maui Revealed : The Ultimate Guidebook,"18,94",Paperback,English,20 Dec 2015,9780996131803
1101881984,Princeton Review,Cracking the Act: 2016 Edition,"22,56",Paperback,English,18 Dec 2015,9781101881989
1101903910,Chrissy Teigen,Cravings : Recipes for All the Food You Want to Eat,"27,36",Hardback,English,30 Mar 2016,9781101903919
1101907452,Ali Maffucci,Inspiralize Everything : An Apples-to-Zucchini Encyclopedia of Spiralizing,"20,82",Paperback,English,16 Aug 2016,9781101907450
1101919795,Princeton Review,6 Practice Tests for the Sat 2017,"20,60",Paperback,English,20 Jun 2016,9781101919798
1101920033,Princeton Review,Cracking the AP U.S. History Exam: 2017 Edition,"19,16",Paperback,English,05 Aug 2016,9781101920039
1101920041,Princeton Review,Cracking the AP World History Exam 2017: Premium Edition,"22,89",Paperback,English,05 Aug 2016,9781101920046
1118008189,Jon Duckett,HTML &amp; CSS : Design and Build Web Sites,"21,07",Paperback,English,18 Nov 2011,9781118008188
1118324579,Jr.  William D Callister,Materials Science and Engineering : An Introduction,"275,30",Hardback,English,04 Dec 2013,9781118324578
